PAIR,SIDE,HALF_LIFE,MEAN_REVERSION_RATIO,TRADE_PRICE_RATIO
AAVEUSDT/LOKAUSDT,short,0.77,749.83893,830.31625
AAVEUSDT/TRBUSDT,short,2.18,2.35316,2.50049
ACEUSDT/ENSUSDT,long,0.89,0.12683,0.11775
ACHUSDT/COMPUSDT,short,0.7,0.00044,0.00047
ACHUSDT/CTSIUSDT,short,1.01,0.14902,0.1616
ACHUSDT/KDAUSDT,short,0.85,0.03416,0.03723
ACHUSDT/LSKUSDT,short,0.78,0.02347,0.02572
ADAUSDT/SSVUSDT,short,0.73,0.01615,0.01718
ALTUSDT/QTUMUSDT,long,0.91,0.04603,0.04215
ANKRUSDT/ARBUSDT,long,0.74,0.04838,0.04705
ARUSDT/PYRUSDT,long,0.99,7.21043,6.6707
AVAXUSDT/ZROUSDT,short,2.24,6.64932,7.40521
BATUSDT/TRBUSDT,short,0.71,0.00272,0.0028
CAKEUSDT/THETAUSDT,short,8.72,1.44573,1.52349
COMPUSDT/EOSUSDT,short,0.72,92.42055,95.73735
COMPUSDT/IOUSDT,short,0.87,23.59961,25.2527
COSUSDT/IMXUSDT,short,0.78,0.00467,0.00516
COSUSDT/SSVUSDT,short,0.71,0.00033,0.00034
COSUSDT/TRBUSDT,short,0.71,0.00011,0.00012
CRVUSDT/LEVERUSDT,short,0.72,135.01853,143.11111
DENTUSDT/PORTALUSDT,short,0.72,0.00296,0.00312
DENTUSDT/TIAUSDT,short,0.72,0.00016,0.00018
DOGSUSDT/MTLUSDT,long,0.86,0.00076,0.00065
DOGSUSDT/XTZUSDT,long,0.9,0.0011,0.00091
ENJUSDT/OPUSDT,long,0.78,0.09123,0.08648
ETHFIUSDT/SPELLUSDT,long,0.71,2723.44529,2609.15493
FIOUSDT/SUIUSDT,long,2.21,0.01764,0.01409
FLMUSDT/SYSUSDT,short,1.57,0.54518,0.56353
FLOKIUSDT/GALAUSDT,short,0.72,0.00663,0.007
FLOWUSDT/TRBUSDT,short,0.71,0.00859,0.0089
GLMUSDT/TRXUSDT,long,6.48,2.09442,1.87776
HBARUSDT/VETUSDT,long,1.27,2.29569,2.18329
IOSTUSDT/THETAUSDT,short,0.7,0.0039,0.00412
JASMYUSDT/RAREUSDT,short,0.89,0.16647,0.17776
LINKUSDT/REIUSDT,short,0.71,199.62436,211.04992
LISTAUSDT/POWRUSDT,short,5.64,1.702,1.8765
LISTAUSDT/SYSUSDT,short,1.51,3.57959,3.93501
LPTUSDT/NULSUSDT,long,0.77,37.20347,34.66564
LUNCUSDT/PYTHUSDT,long,0.72,0.00026,0.00025
NKNUSDT/SNXUSDT,long,0.72,0.04922,0.04781
ONEUSDT/RPLUSDT,long,0.71,0.00123,0.00115
RADUSDT/TNSRUSDT,long,3.23,2.99615,2.62136
STXUSDT/XRPUSDT,short,3.0,3.26349,3.51859
TRUUSDT/VANRYUSDT,short,19.61,0.95516,1.01304
